Campaign type,Campaign,Currency code,Cost,Impr.,Clicks,Conversions,Conv. value
Search,AU - G: SM - DSA - Hele siden,EUR,30.42,439,62,1.00,110.70
Search,AU - SM  - Brand - BM (DE),EUR,0.00,1,0,0.00,0.00
Search,AU - SM  - Brand - BM (EN),EUR,0.00,0,0,0.00,0.00
Search,AU - SM  - Brand - EM (DE),EUR,18.78,704,513,12.00,"1,359.59"
Search,AU - SM  - Brand - EM (EN),EUR,8.39,307,211,3.32,274.87
Search,AU - SM  - Brand - PM (DE),EUR,0.00,0,0,0.00,0.00
Search,AU - SM  - Brand - PM (EN),EUR,0.00,0,0,0.00,0.00
Search,BE - G: SM - DSA - Hele siden,EUR,20.70,310,37,1.00,98.53
Search,BE - SM  - Brand - BM (EN),EUR,0.00,1,0,0.00,0.00
Search,BE - SM  - Brand - EM (EN),EUR,17.16,"1,013",712,19.78,"1,647.90"
Search,BE - SM  - Brand - PM (EN),EUR,0.00,0,0,0.00,0.00
Search,CA - SM  - Brand - EM (EN),EUR,10.35,944,748,14.00,"1,053.05"
Search,CA:G: SM - DSA - Hele siden,USD,27.54,88,11,0.50,33.15
Search,CA:SM - RLSA - G: Clothing,USD,119.31,601,59,4.46,447.39
Search,CA:SM - RLSA - G: Organic,USD,140.04,374,41,4.47,509.80
Search,CA:SM - RLSA - G: Socks,USD,0.00,0,0,0.00,0.00
Search,CA:SM - RLSA - G: Sustainable,USD,0.00,4,0,0.00,0.00
Search,CA:SM - RLSA - G: Underwear,USD,0.01,25,1,0.00,0.00
Search,CA:SM - RLSA - US - G: samlet,USD,43.04,248,25,1.96,134.04
Search,CH - G: SM - DSA - Hele siden,EUR,27.30,324,44,0.91,47.18
Search,CH - SM  - Brand - BM (DE),EUR,0.00,0,0,0.00,0.00
Search,CH - SM  - Brand - BM (EN),EUR,0.00,0,0,0.00,0.00
Search,CH - SM  - Brand - EM (DE),EUR,10.17,293,183,4.00,266.76
Search,CH - SM  - Brand - EM (EN),EUR,6.93,276,190,4.00,388.45
Search,CH - SM  - Brand - PM (DE),EUR,0.00,0,0,0.00,0.00
Search,CH - SM  - Brand - PM (EN),EUR,0.00,0,0,0.00,0.00
Search,College:G: SM - DSA - Hele siden,USD,54.79,134,24,0.48,29.09
Search,College:SM - RLSA - G: Clothing,USD,48.43,262,34,3.97,446.01
Search,College:SM - RLSA - G: Organic,USD,140.70,286,42,4.83,363.30
Search,College:SM - RLSA - G: Socks,USD,0.00,0,0,0.00,0.00
Search,College:SM - RLSA - G: Sustainable,USD,0.00,2,0,0.00,0.00
Search,College:SM - RLSA - G: Underwear,USD,0.00,2,0,0.00,0.00
Search,College:SM - RLSA - US - G: samlet,USD,0.00,1,0,0.00,0.00
Search,CZ - G: SM - DSA - Hele siden,EUR,11.35,175,29,0.49,14.86
